CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
15790,MAT 545-01,Differntl Equa Orthogonal Syst,3,Mauricio A. Rivas,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,none,3,15,12,math,
15362,MAT 586-01,Financial Math for Actuaries,3,Haimeng Zhang,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,6,15,9,math,
13458,MAT 596-01,Mathematical Analysis,3,Maya Chhetri,08-JAN-2018 to 25-APR-2018,T R,1230-1345,none,7,15,8,math,
14228,MAT 602-01,Seminar in Math Software,3,Maya Chhetri,08-JAN-2018 to 25-APR-2018,M,1500-1550,none,13,15,2,math,
17314,MAT 687-01,Project in Mathematics,3,Ratnasingham Shivaji,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17329,MAT 687-02,Project in Mathematics,3,Dan Yasaki,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17524,MAT 687-03,Project in Mathematics,3,Thomas L. Lewis,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,math,
17265,MAT 699-01,Thesis,1,Gregory C. Bell,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17472,MAT 701-01,Sel Topics Computational Math,3,Sebastian G. Pauli,08-JAN-2018 to 25-APR-2018,,,none,3,5,2,math,
17144,MAT 709-01,Topics in Computational Math,3,Filip Saidak,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,3,10,7,math,
16900,MAT 726-01,Finite Element Methods,3,Yi Zhang,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,5,10,5,math,
15363,MAT 728-01,Linear Algebra Matrix Theory,3,Thomas L. Lewis,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,none,3,10,7,math,
16742,MAT 746-01,Functional Analysis,3,Mauricio A. Rivas,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,none,6,10,4,math,
16749,MAT 747-01,Computational Topology,3,Yu-Min Chung,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,7,10,3,math,
17487,MAT 790-01,Directed Doctoral Research,1,Ratnasingham Shivaji,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17488,MAT 790-02,Directed Doctoral Research,1,Ratnasingham Shivaji,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17489,MAT 790-03,Directed Doctoral Research,1,Maya Chhetri,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17510,MAT 790-04,Directed Doctoral Research,1,Xiaoli Gao,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17338,MAT 802-01,Dissertation Extension,1,Haimeng Zhang,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
17483,MAT 802-02,Dissertation Extension,1,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,math,
10519,PHI 111-01,Introduction to Philosophy,3,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,.GPR,0,59,59,philosophy,
17347,PHI 111-01D,Introduction to Philosophy,3,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,.GPR,-1,0,1,philosophy,
10520,PHI 111-02,Introduction to Philosophy,3,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.GPR,0,60,60,philosophy,
11451,PHI 111-03,Introduction to Philosophy,3,Gary Rosenkrantz,08-JAN-2018 to 25-APR-2018,T R,1530-1645,.GPR,2,65,63,philosophy,
10536,PHI 111-04,Introduction to Philosophy,3,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,.GPR.WI,0,25,25,philosophy,
10537,PHI 111-05,Introduction to Philosophy,3,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,.GPR.WI,0,24,24,philosophy,
17222,PHI 111-05D,Introduction to Philosophy,3,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,.GPR.WI,-1,0,1,philosophy,
10521,PHI 115-01,Practical Reasoning,3,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,T R,1230-1345,.GRD,1,60,59,philosophy,
10538,PHI 115-02,Practical Reasoning,3,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,.GRD,14,50,36,philosophy,
10529,PHI 121-01,Contemporary Moral Problems,3,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,.GPR,-3,58,61,philosophy,
13775,PHI 121-01D,Contemporary Moral Problems,3,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,.GPR,-7,0,7,philosophy,
11431,PHI 121-02,Contemporary Moral Problems,3,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,.GPR,-1,60,61,philosophy,
10541,PHI 121-03,Contemporary Moral Problems,3,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,.GPR,2,60,58,philosophy,
11432,PHI 121-04,Contemporary Moral Problems,3,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,,,.GPR,4,59,55,philosophy,
17382,PHI 121-04D,Contemporary Moral Problems,3,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,,,.GPR,0,7,7,philosophy,
12999,PHI 121-05,Contemporary Moral Problems,3,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.GPR,3,60,57,philosophy,
17233,PHI 121-06,Contemporary Moral Problems,3,Gaetano E. Milazzo,08-JAN-2018 to 25-APR-2018,T R,1700-1815,.GPR,48,65,17,philosophy,
17230,PHI 121-07,Contemporary Moral Problems,3,Gaetano E. Milazzo,08-JAN-2018 to 25-APR-2018,T R,1530-1645,.GPR,20,65,45,philosophy,
13681,PHI 121-81D,Contemporary Moral Problems,3,Gary Rosenkrantz,09-DEC-2017 to 18-JAN-2018,,,.GPR,6,65,59,philosophy,
10527,PHI 220-01,Medical Ethics,3,Heather J. Gert,08-JAN-2018 to 25-APR-2018,T R,0930-1045,.GPR,3,60,57,philosophy,
10528,PHI 220-02,Medical Ethics,3,Heather J. Gert,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.GPR,4,60,56,philosophy,
14315,PHI 222-02,Ethics in the Computer Age,3,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,T R,0930-1045,.GPR,-1,40,41,philosophy,
